"chrom"	"start"	"end"	"MDS1"	"MDS2"
"Chr2L"	131347	153761	-0.0209334860816758	-0.294211675408389
"Chr2L"	153791	174341	-0.0554801050510214	-0.168314375353605
"Chr2L"	174363	201628	-0.0981743589427651	-0.132209473985661
"Chr2L"	201630	226612	-0.0974538941816118	0.00660276640508772
"Chr2L"	226616	251346	-0.139421809343262	0.0228355240168331
"Chr2L"	251348	267391	-0.0489864811427029	0.0123779200814513
"Chr2L"	267393	286994	-0.0223317206999042	-0.124373707512413
"Chr2L"	286998	306002	-0.0700903899469289	-0.045386557202515
"Chr2L"	306009	319992	0.0440158107219269	0.0428638160679899
"Chr2L"	320009	334078	0.114432170626644	0.0807361408831826
"Chr2L"	334092	357980	0.121783461565643	0.0943298066111725
"Chr2L"	357987	377336	0.081953492352141	0.127069131574776
"Chr2L"	377340	390815	0.0750227371304737	0.209830986911495
"Chr2L"	390816	403585	0.10708698863915	0.0795745562205081
"Chr2L"	403596	420938	0.00485431339985013	-0.0361445993067938
"Chr2L"	420953	434219	-0.0538004608866771	-0.0402476527969152
"Chr2L"	434223	446652	-0.00649593785698932	0.0453885680657639
"Chr2L"	446660	462762	-0.0520453096214612	-0.0471817455121217
"Chr2L"	462772	476802	-0.0244786023440663	-0.0918010477394973
"Chr2L"	476819	487837	0.0804866649733425	0.155179548524164
"Chr2L"	487838	496503	-0.0789538967954651	0.0963658826739824
"Chr2L"	496505	504438	0.0132692110449769	-0.0627024346366846
"Chr2L"	504462	512561	0.0483245683295412	-0.0652694712261958
"Chr2L"	512566	520377	-0.00377990087437708	-0.0504102671085077
"Chr2L"	520386	529176	0.0996258423706067	0.0418207304553891
"Chr2L"	529195	537826	0.00775864878473069	0.0763945652545789
"Chr2L"	537838	547412	0.171818112813467	-0.0300473930973299
"Chr2L"	547444	555207	0.10087811848716	0.00933942213799025
"Chr2L"	555210	563327	0.0630310781875935	-0.164878714489869
"Chr2L"	563332	575722	0.0703665400204979	-0.255339760833857
"Chr2L"	575726	584231	0.103682780726673	0.0434837125680222
"Chr2L"	584233	592862	0.0150422894586346	-0.163677406634994
"Chr2L"	592868	602121	0.0371887954118533	-0.210652186346775
"Chr2L"	602144	610417	0.0233451094403118	-0.160533335133947
"Chr2L"	610428	618213	0.112200613330756	-0.163294648337863
"Chr2L"	618218	626425	0.0573147055591496	0.00164127378745167
"Chr2L"	626492	633769	-0.067739846569845	-0.0304405529783028
"Chr2L"	633773	641814	-0.0782756693086716	-0.0935619436929062
"Chr2L"	641823	651403	0.0132954963032336	0.00484602520504171
"Chr2L"	651416	660197	0.0200745381757303	-0.0491667303831289
"Chr2L"	660206	668031	0.0647332326942267	-0.214799060947092
"Chr2L"	668032	676175	0.0248456486850582	-0.247555268515715
"Chr2L"	676191	684650	0.0258002474830454	-0.179448719946733
