"chrom"	"start"	"end"	"MDS1"	"MDS2"
"ChrX"	7185	331551	-0.373269372518794	0.171814596984713
"ChrX"	331581	514575	-0.358174804069238	0.131316017123046
"ChrX"	514579	633710	-0.243674510868159	0.150255802001405
"ChrX"	633716	756069	-0.268712408163601	0.152212721563195
"ChrX"	756075	844918	-0.40135815325665	0.135717466670936
"ChrX"	844922	921656	-0.443371915101246	0.0954103916782601
"ChrX"	921659	1027900	-0.457179479920738	0.0850396716616995
"ChrX"	1027903	1118736	-0.331733934315506	0.0816658539252445
"ChrX"	1118740	1206658	-0.327148809462706	0.0672269400678029
"ChrX"	1206659	1341389	-0.211155219448276	0.109897135400221
"ChrX"	1341391	1475842	-0.290873397478653	0.128505762218355
"ChrX"	1475862	1608188	-0.310049536453797	0.138748238711044
"ChrX"	1608190	1710355	-0.247576016702458	0.0882900329373296
"ChrX"	1710378	1844243	-0.490533968637049	0.125251512517802
"ChrX"	1844247	1972883	-0.340630307888407	0.0700403663709309
"ChrX"	1972906	2092549	-0.307641458731193	0.114359845866006
"ChrX"	2092559	2200837	-0.375629415837235	0.109801072114694
"ChrX"	2200857	2286893	-0.182654530251078	0.0738871340110351
"ChrX"	2286896	2370730	-0.14741450783371	0.121177867923101
"ChrX"	2370732	2442095	-0.104771325928193	0.103590859255646
"ChrX"	2442096	2513783	-0.202881587639172	0.0872149588435576
"ChrX"	2513784	2585202	-0.119720669869305	0.133891835426311
"ChrX"	2585250	2658163	-0.0503658222173802	0.0891256171001874
"ChrX"	2658167	2728242	-0.115269194081017	0.0750523496508324
"ChrX"	2728243	2794270	-0.174232804820136	0.056479713385931
"ChrX"	2794273	2858423	-0.169731744874781	-0.0421151488441033
"ChrX"	2858425	2920905	-0.168604867266907	-0.0205180556247775
"ChrX"	2920919	2991202	-0.215945703266786	0.0447582442497277
"ChrX"	2991204	3049957	0.00579204257483183	0.0438347127504817
"ChrX"	3049969	3125091	-0.0375055233847259	0.0784110846345066
"ChrX"	3125094	3181324	-0.115531910912835	0.117979377700093
"ChrX"	3181326	3240407	0.0253937229680366	0.0778133102938639
"ChrX"	3240412	3305384	0.00391301677929351	0.106871701571689
"ChrX"	3305391	3373036	0.0741914196393449	0.125325918023632
"ChrX"	3373060	3445553	0.0531897776952569	0.0420288180575147
"ChrX"	3445568	3524287	0.031353104133808	0.0414727213449827
"ChrX"	3524289	3583950	-0.0387548975698331	0.0770333208866835
"ChrX"	3583969	3666660	-0.116111962618718	0.0582613751514803
"ChrX"	3666666	3752543	-0.0299007583954868	0.0250514781836946
"ChrX"	3752549	3821624	-0.149896890382846	0.0869441773744177
"ChrX"	3821628	3914137	-0.0535459852050091	0.0627167423178187
"ChrX"	3914151	3979502	0.0143939139322623	0.0938203255251551
"ChrX"	3979514	4063804	0.0136358457429769	0.0771595209497652
"ChrX"	4063810	4125177	-0.054267668897808	0.116079838376257
"ChrX"	4125178	4202997	-0.0913809239682147	0.127378461750897
"ChrX"	4203003	4268229	0.105492735320767	0.106167783087568
"ChrX"	4268230	4327736	0.164662590971543	0.124670512170222
"ChrX"	4327737	4391553	0.152593288688724	0.0592343545968829
"ChrX"	4391558	4453952	0.203618146175811	0.111401624920933
"ChrX"	4453957	4523690	0.0906513453699438	0.117937452508804
"ChrX"	4523699	4593503	0.124774280537814	0.157156199021666
"ChrX"	4593505	4656871	0.123411353284248	0.104601021479629
"ChrX"	4656874	4718611	0.157555075769589	0.053781276874797
"ChrX"	4718613	4780914	0.151392034640909	0.0955735905580545
"ChrX"	4780922	4859848	0.154652255413104	0.123588466131155
"ChrX"	4859850	4924206	0.246701116247574	0.101096672064756
"ChrX"	4924207	5000078	0.252856356082253	0.0173537949339314
"ChrX"	5000083	5053808	0.0574962973658145	0.080516069787076
"ChrX"	5053813	5112654	0.137078880507541	0.08530549958715
"ChrX"	5112660	5180615	0.191749003359755	0.0382497854821535
"ChrX"	5180616	5244754	0.129517925137683	0.132891897452174
"ChrX"	5244765	5318193	0.207650695739864	0.015813671186607
"ChrX"	5318205	5369850	0.242329681710516	-0.015845775923297
"ChrX"	5369851	5435557	0.199989506751183	0.0792982327240356
"ChrX"	5435559	5491953	0.15417832164394	0.0347417394734578
"ChrX"	5491954	5556131	0.201025417476976	0.106708216816827
"ChrX"	5556150	5627521	0.144143879117997	0.137761529737432
"ChrX"	5627527	5708204	0.206026474637053	0.0565314034698255
"ChrX"	5708206	5759739	0.202284480804549	0.0433827825017508
"ChrX"	5759749	5836327	0.103596124977697	0.00918689523202733
"ChrX"	5836329	5902683	0.00873576918392805	-0.00597418629107084
"ChrX"	5902705	5968511	0.134895644052468	-0.07610336362326
"ChrX"	5968514	6042151	0.0877087064880437	-0.0713267205062887
"ChrX"	6042158	6106965	-0.0119744105942643	0.0154950579382294
"ChrX"	6106966	6188407	0.12575219832516	-0.0675704586716009
"ChrX"	6398635	6467091	0.190056283234209	0.0332333870121491
"ChrX"	6467098	6534700	0.208356550665862	0.0452835183162725
"ChrX"	6534708	6607697	0.227300422235126	0.0272270884572738
"ChrX"	6607709	6679277	0.118364272103364	0.0342930865047026
"ChrX"	6679282	6756940	0.158253464649761	0.0636129207060859
"ChrX"	6756958	6818022	0.130763890716372	0.118091491398228
"ChrX"	6818025	6879410	0.253096428260538	0.112362118144504
"ChrX"	6879411	6946327	0.199457170082994	0.104204948444387
"ChrX"	6946332	7009006	0.319054762269168	0.118725299421253
"ChrX"	7009008	7080590	0.272268206474255	0.10206717314419
"ChrX"	7080591	7150902	0.280190965866921	0.105975020632378
"ChrX"	7150954	7215229	0.21717797677992	0.107172043717547
"ChrX"	7215236	7281697	0.18886826455114	0.122302985877326
"ChrX"	7281701	7346730	0.221932913616976	0.113139120683425
"ChrX"	7346731	7413333	0.266479900532409	0.0779715874036446
"ChrX"	7413334	7484988	0.160592235725439	0.0866079382953728
